source_row,col_1,col_2,col_3,col_4
1,Table S6 Regression coefficients from the discriminant function analysis of reproductive traits.,,,
2,Character,LD1,LD2,LD3
3,SpurR,-0.5153173,0.9516458,-1.6434021
4,SepalC,1.655223,-0.03766216,2.1604253
5,SpurC,-1.4621612,0.08363806,-1.6023091
6,Lamina,1.2146236,-4.29966071,-3.1842067
7,SepalL,-0.034624,-0.03937091,0.1135252
8,SepalW,0.1753467,-0.02975175,-0.116712
9,SpurL,0.1831347,0.21735025,-0.2101413
10,SpurML,0.6662818,-0.39601556,0.7028415
11,SpurMW,-0.2141882,0.25883528,-0.3574538
12,StamenL,-0.4562912,0.15773176,-0.6544567
13,PistilL,-0.133455,-0.33919486,0.1412429
