source_row,col_1,col_2,col_3,col_4
1,Table S5 Regression coefficients from the discriminant function analysis of vegetative  traits.,,,
2,Character,LD1,LD2,LD3
3,LeafT,-2.634600536,0.05114018,0.699115649
4,MLL,0.046247761,0.01829528,0.003933967
5,MLW,-0.087823991,0.02773245,-0.021458909
6,MLLL,-0.716466023,1.50705126,-2.27917345
7,RatioML,-0.020296502,-0.08995394,0.044591478
8,LLL,-0.022283058,-0.01715064,0.060333502
9,LLW,0.017232717,-0.01873218,-0.085463241
10,LonglobeL,0.022077572,-0.01770595,-0.038223553
11,ShortlobeL,-0.057957179,0.21780107,-0.037629604
12,SawtoothD,-0.214779096,0.23665246,0.29674522
13,PetioleL,-0.009549981,-0.0148878,-0.015864386
