source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
1,Table S3 Qualitative(QL) and quantitative (QN) data of vegetative characters in the morphometric analyses,,,,,,,,,,,,,,,
2,Series,Species,Locality,Voucher,Herbarium,LeafT,MLL,MLW,RatioML,MLLL,SawtoothD,PetioleL,LLL,LLW,LonglobeL,ShortlobeL
3,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,118.9,40.6,2.9,6.1,6.7,108.8,113.4,40.8,6.9,24.7
4,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,119.3,38.3,3.1,5.3,4.8,113,93.9,34.8,5.3,22.9
5,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,86.8,34.6,2.5,2.6,6.6,87.3,82.9,38.2,5.7,18.6
6,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,103,36,2.9,4,5.7,98.2,87.5,43.7,10.1,19.5
7,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,99.7,41.8,2.4,3.1,5.9,76.1,92,43.2,4.4,20.4
8,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,102.7,41.4,2.5,5.7,5.8,71.9,103.7,43,8.3,20.9
9,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,90,34.6,2.6,4,5.9,74.1,90.9,36.7,4.6,19.9
10,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,98.6,44.5,2.2,9.2,7.1,85.7,90.6,45.2,7,28.2
11,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,100.5,41.6,2.4,5,6,78.8,98.1,40.6,5.1,16.6
12,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,82.8,42,2,5.2,6.6,86.6,87.4,36.4,5.2,20
13,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,92.1,41.5,2.2,5.1,6.3,67.6,77.2,40.7,8.4,21.6
14,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,103.5,33.4,3.1,4.7,6.8,91.4,90.5,33.6,6.4,24.2
15,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,112.7,45.3,2.5,6.8,5,61.6,110.8,55,8.5,35.1
16,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,121.7,51.4,2.4,6,6,95.4,108.9,57.3,7.1,34.2
17,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,104.6,35.1,3,2.8,5.5,91.8,88.6,34.2,3,16.7
18,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,112.9,49.7,2.3,5,6.1,75.8,98.4,49.4,3.1,31.4
19,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,107.7,46.6,2.3,5.7,5.4,101.7,105.7,49.1,6.6,25.2
20,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,110.6,42.3,2.6,6.7,4.2,110.3,111.1,49.3,7.9,36
21,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,120.2,49.3,2.4,2.1,2.8,126.7,131.4,61.9,7.5,26.3
22,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,89.2,32.4,2.8,2.6,6.4,79.6,74.6,30.1,2.9,13
23,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",C.  Zhang Zhang233,BNU,1,91,45.7,2,8.7,6,97.9,86.7,43.1,11.4,21.8
24,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",Y.D. Ji & X.J. Hu 15CS11003,KUN,1,124.4,43.3,2.9,4.6,4.4,141.2,103.6,41.1,4.8,24.3
