source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1,Table S10 Regression coefficients from the principal component analysis of reproductive traits.,,,,,,,,,,,
2,Character,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
3,SpurR,0.15,0.33,-0.35,-0.28,-0.07,0.79,-0.03,0.06,-0.13,0.11,0.06
4,SepalC,0.35,0.11,-0.15,0.61,-0.1,0.17,-0.17,-0.38,0.43,-0.28,-0.05
5,SpurC,0.18,0.34,0.14,0.61,0.08,-0.03,0.15,0.42,-0.42,0.23,0.16
6,Lamina,0,-0.38,-0.36,0.16,0.68,0.05,-0.21,-0.25,-0.31,0.17,-0.05
7,SepalL,0.41,-0.02,0.38,-0.19,0.21,0.02,-0.68,0.35,0.09,-0.08,-0.07
8,SepalW,0.39,-0.1,0.38,-0.13,0.41,0.21,0.63,-0.07,0.09,-0.19,-0.12
9,SpurL,0.35,-0.28,0.31,-0.03,-0.45,0.05,-0.08,-0.47,-0.46,0.24,0.06
10,SpurML,0.2,-0.49,-0.15,0.03,-0.09,0.07,0.11,0.27,0.37,0.28,0.62
11,SpurMW,0.16,-0.44,-0.32,0.09,-0.29,0.04,0.1,0.43,-0.25,-0.41,-0.4
12,StamenL,0.36,0.25,-0.32,-0.26,0.06,-0.41,0.03,-0.11,-0.24,-0.43,0.45
13,PistilL,0.43,0.17,-0.31,-0.15,-0.04,-0.35,0.12,0.02,0.21,0.54,-0.43
