source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1,Table S8 Regression coefficients from the principal component analysis of vegetative traits.,,,,,,,,,,,
2,Character,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
3,LeafT,-0.32,-0.06,0.13,0.28,-0.67,0.53,0.25,-0.02,0.11,-0.02,0
4,MLL,-0.39,-0.06,0.13,-0.12,0.04,-0.16,-0.2,-0.24,0.34,-0.25,-0.72
5,MLW,-0.34,0.1,-0.44,-0.07,-0.21,-0.34,-0.14,-0.25,0.45,0.26,0.41
6,MLLL,-0.12,0.59,0.06,0.34,0.18,-0.21,0.53,-0.35,-0.16,0.01,-0.09
7,RatioML,-0.31,-0.17,0.54,-0.1,0.17,0.1,-0.22,-0.41,-0.27,0.44,0.2
8,LLL,-0.38,-0.07,0.2,-0.07,0.03,-0.22,0.02,0.1,-0.16,-0.72,0.44
9,LLW,-0.35,0.15,-0.35,-0.04,-0.25,-0.13,-0.26,0.23,-0.68,0.14,-0.24
10,SawtoothD,0.18,0.36,0.18,-0.8,-0.35,0.01,0.18,-0.11,-0.03,-0.03,0
11,LonglobeL,-0.36,0.1,0.26,-0.12,0.19,-0.09,0.27,0.7,0.25,0.34,-0.02
12,ShortlobeL,-0.04,0.65,0.07,0.09,0.16,0.42,-0.54,0.1,0.16,-0.12,0.12
13,PetioleL,-0.29,-0.12,-0.46,-0.32,0.45,0.53,0.29,-0.13,-0.05,-0.06,0
