accepted_taxon,source_run,source_artifact,source_artifact_sha256
Camellia septempetala,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia cuspidata,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia cordifolia,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia chrysanthoides,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia flavida,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia impressinervis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia pingguoensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia luteoflora,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia parvimuricata,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia pyxidiacea,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia ilicifolia,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia rhytidocarpa,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia tuberculata,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia anlungensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
