question,layer,n_records,n_yes,n_no,n_unclear,n_not_applicable,n_no_evidence,n_mixed,n_interpretable_yes_no,yes_fraction_among_interpretable
anthocyanin_more_in_more_red,all_studies,16,10,0,2,4,0,0,10,1.000000
anthocyanin_more_in_more_red,public_raw_studies,10,7,0,0,3,0,0,7,1.000000
anthocyanin_more_in_more_red,independence_cluster_consensus,10,6,0,2,2,0,0,6,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,all_studies,16,6,0,6,4,0,0,6,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,public_raw_studies,10,4,0,3,3,0,0,4,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,independence_cluster_consensus,10,4,0,4,2,0,0,4,1.000000
competing_branch_more_active_in_less_red,all_studies,16,8,0,6,2,0,0,8,1.000000
competing_branch_more_active_in_less_red,public_raw_studies,10,6,0,4,0,0,0,6,1.000000
competing_branch_more_active_in_less_red,independence_cluster_consensus,10,6,0,3,1,0,0,6,1.000000
within_genotype_or_developmental_switch,all_studies,16,7,8,1,0,0,0,15,0.466667
within_genotype_or_developmental_switch,public_raw_studies,10,6,4,0,0,0,0,10,0.600000
within_genotype_or_developmental_switch,independence_cluster_consensus,10,2,6,0,0,0,2,8,0.250000
regulatory_or_flux_evidence,all_studies,16,16,0,0,0,0,0,16,1.000000
regulatory_or_flux_evidence,public_raw_studies,10,10,0,0,0,0,0,10,1.000000
regulatory_or_flux_evidence,independence_cluster_consensus,10,10,0,0,0,0,0,10,1.000000
structural_gene_loss_required,all_studies,16,0,4,0,0,12,0,4,0.000000
structural_gene_loss_required,public_raw_studies,10,0,2,0,0,8,0,2,0.000000
structural_gene_loss_required,independence_cluster_consensus,10,0,3,0,0,7,0,3,0.000000
